DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/13/2025,1,2,LZ_NORTH,LZ,17.57,N,2025-04-13 00:00:00,70.3,12.7,0.0
04/12/2025,9,2,LZ_AEN,LZ,-0.75,N,2025-04-12 08:00:00,60.8,0.0,68.0
04/12/2025,9,2,LZ_HOUSTON,LZ,-0.97,N,2025-04-12 08:00:00,67.3,10.4,33.0
04/12/2025,9,2,LZ_NORTH,LZ,-1.75,N,2025-04-12 08:00:00,57.7,8.2,56.0
04/11/2025,3,1,LZ_AEN,LZ,29.27,N,2025-04-11 02:00:00,65.0,0.0,0.0
04/11/2025,3,1,LZ_HOUSTON,LZ,28.69,N,2025-04-11 02:00:00,65.9,4.7,0.0
04/11/2025,3,1,LZ_NORTH,LZ,29.35,N,2025-04-11 02:00:00,69.1,7.0,0.0
04/16/2025,22,3,LZ_AEN,LZ,54.49,N,2025-04-16 21:00:00,76.7,10.4,0.0
04/16/2025,22,3,LZ_HOUSTON,LZ,68.17,N,2025-04-16 21:00:00,71.7,13.6,0.0
04/16/2025,22,3,LZ_NORTH,LZ,82.65,N,2025-04-16 21:00:00,74.7,13.8,0.0
04/13/2025,3,2,LZ_AEN,LZ,14.4,N,2025-04-13 02:00:00,65.5,7.1,0.0
04/13/2025,3,2,LZ_HOUSTON,LZ,15.86,N,2025-04-13 02:00:00,66.3,9.6,0.0
04/13/2025,3,2,LZ_NORTH,LZ,15.51,N,2025-04-13 02:00:00,68.4,11.8,0.0
04/18/2025,11,4,LZ_AEN,LZ,-0.73,N,2025-04-18 10:00:00,76.5,14.9,515.0
04/18/2025,11,4,LZ_HOUSTON,LZ,5.78,N,2025-04-18 10:00:00,77.4,19.1,538.0
04/18/2025,11,4,LZ_NORTH,LZ,3.3,N,2025-04-18 10:00:00,71.7,11.3,316.0
04/13/2025,8,2,LZ_AEN,LZ,11.36,N,2025-04-13 07:00:00,62.3,8.7,0.0
04/13/2025,8,2,LZ_HOUSTON,LZ,12.54,N,2025-04-13 07:00:00,66.1,11.7,3.0
04/13/2025,8,2,LZ_NORTH,LZ,12.96,N,2025-04-13 07:00:00,62.8,13.2,5.0
04/13/2025,17,2,LZ_AEN,LZ,12.39,N,2025-04-13 16:00:00,91.8,12.0,696.0
04/13/2025,17,2,LZ_HOUSTON,LZ,22.06,N,2025-04-13 16:00:00,81.2,18.7,692.0
04/13/2025,17,2,LZ_NORTH,LZ,20.18,N,2025-04-13 16:00:00,89.8,17.9,925.0
04/17/2025,24,4,LZ_AEN,LZ,16.64,N,2025-04-17 23:00:00,73.0,17.9,0.0
04/17/2025,24,4,LZ_HOUSTON,LZ,20.02,N,2025-04-17 23:00:00,71.9,13.8,0.0
04/17/2025,24,4,LZ_NORTH,LZ,21.36,N,2025-04-17 23:00:00,74.7,16.3,0.0
